"Name","Purpose Statement","Affiliation"
"Palliative Medicine Interest Group","The Palliative Medicine Interest Group exists to provide research opportunities, shadowing opportunities, and other events  for medical stud...","Columbus, Special Interest, Academic/College"
"Panhellenic Association","The Panhellenic Association is the governing body of all 17 nationally recognized sororities on campus.  We organize programs and institute ...","Columbus, Governance Organizations, Community Service/Service Learning, Social Fraternities/Sororities"
"Paranormal Club at The Ohio State University","Paranormal club at The Ohio State University offers a diverse environment in which students of all backgrounds research paranormal phenomena...","Columbus, Special Interest, Religious/Spiritual"
"Park-Stradley Community Council","The purpose of this Community Council is to provide for the social, recreational, informational, educational, diversity, wellness, and commu...","Columbus, Governance Organizations, Academic/College, Community Service/Service Learning"
"Parks and Recreation Society","We are students interested in outdoor adventure, environmental education, park administration, community recreation, tourism planning and de...","Columbus, Sports and Recreation, Awareness/Activism"
"Partners in Health Engage at The Ohio State University","PIH Engage is a network of community organizers across the country working together to advance the right to health. We work to: 1.	Bring ess...","Columbus, Awareness/Activism, Special Interest,"
"Partnership for Ongoing Development, Education, and Medical Outreach Solutions","Our mission is the immersion of OSU College of Medicine students in the task of building a health centered relationship in El Progeso, Hondu...","Columbus, Community Service/Service Learning, Awareness/Activism,"
"Pass the Class","Our purpose is to aid in the development of homeless and at-risk youth from ages 14-24 of Columbus in all aspects of their life. We provide ...","Columbus, Community Service/Service Learning, Academic/College, Awareness/Activism,"
"Pay It Forward","Pay It Forward is a cohort program involving between 20 and 30 students who work closely with Center for Student Leadership and Service in t...","Columbus, Community Service/Service Learning"
"Pediatric Pharmacy Association","The purpose of this organization is to serve as pediatric pharmacy advocates within the greater Columbus community in order to promote safe ...","Columbus, Academic/College, Community Service/Service Learning, Special Interest"
"Pediatrics Interest Group","To introduce medical students to the pediatric specialty through panels and discussions about the field, networking with physicians, coordin...","Columbus, Academic/College, Special Interest"
"The Pediatrics Ultrasound Community of Practice at The Ohio State University College of Medicine","The purpose of our organization is to increase clinician use, accessibility, and knowledge of focused ultrasound within the field of Pediatr...","Columbus, Academic/College, Special Interest"
"Peers Advancing Literacy in Students at The Ohio State University","The mission of Pen PALS is to alleviate the challenges faced in the Columbus City School District through literacy and mentorship, while edu...","Columbus, Community Service/Service Learning, Awareness/Activism, Media, Journalism, and Creative Writing,"
"People In The Soil","The People In The Soil (PITS) Club allows students to prepare and participate in soil judging contests with the competitive Ohio State Soil ...","Columbus, Special Interest, Academic/College"
"Percussion Club at Ohio State","OSU Percussion Club will create events where students can perform for each other, bond, and discuss percussion-related activities. A member ...","Columbus, Creative and Performing Arts, Special Interest, Academic/College"
"Perfect Pair at Ohio State","Perfect Pair at Ohio State fosters one-on-one, intergenerational connections between older adults and college students. We strive to reinfor...","Columbus, Community Service/Service Learning, Special Interest"
"Performance Nutrition Club at Ohio State","Educate and immerse nutrition focused students into a performance nutrition environment with Ohio State Athletics. Students will be given th...","Columbus, Academic/College, Community Service/Service Learning, Special Interest"
"Performance Studies Working Group","The Performance Studies Working Group's mission is to promote interdisciplinary discourse on Performance Studies among Ohio State's artists,...","Columbus, Academic/College, Awareness/Activism, Creative and Performing Arts, Ethnic/Cultural"
"PERIOD at The Ohio State University","Our aim to destigmatize menstruation and make menstrual products more available through our three pillars of service, advocacy and education...","Columbus, Awareness/Activism, Community Service/Service Learning,"
"Pershing Rifles Company A-1","The purpose of the National Society of Pershing Rifles is to develop, to the highest degree possible, outstanding traits of leadership, mili...","Columbus, Honoraries/Honor Societies, Social Fraternities/Sororities, Special Interest"
"Persian Student Association","The Persian Student Association (PSA) is a non-political, non-religious voluntary student organization whose objective is to sponsor Persian...","Columbus, Ethnic/Cultural, Awareness/Activism, Creative and Performing Arts"
